"Processed Date","Type","Code","Reference","Amount","Details","Particulars","Expense.Category"
2023-11-20,"Atm Debit","Lambton Quay","122203",-550,"Asb  A314000 Lambton Quay","Asb  A314000","General_shoppings"
2023-11-20,"Payment","Lsm836","Du707826",-30,"Safety Infringements","Pr6763307","Unidentified"
2023-11-20,"Payment",NA,NA,-30,"Zohre Karaminejad",NA,"Unidentified"
2023-11-20,"Unpaid Item Reversal","00019824115","120190290",255.13,"Mercury Nz Ltd","Unpaid Dd","Income"
2023-11-17,"Visa Purchase","New World Ka",NA,-23.03,"4835-****-****-1137  Df",NA,"Groceries"
2023-11-17,"Visa Purchase","Unichem Karo",NA,-18.99,"4835-****-****-1137  Df",NA,"Health_Beauty"
2023-11-17,"Visa Purchase","Subway Lambt",NA,-13.8,"4835-****-****-2622  Df",NA,"Eat_out"
2023-11-17,"Visa Purchase","Netflix.Com",NA,-12.99,"4835-****-****-2622  Df",NA,"Entertainment"
2023-11-17,"Eft-Pos","2622   C","231117120751",-10,"Noodle Plus Woodward","4835********","Eat_out"
2023-11-17,"Visa Purchase","Mcdonalds Ba",NA,-3,"4835-****-****-2622  Df",NA,"Eat_out"
